date,location,time,site,plot,impact,nh4,no3.no2,srp,din,doc,vol.col.l,vol.col.mm
21-Jun-16,Moonbeam,7,MB,2,Low,0.015162973,0.024041705,1.836720236,0.039204678,411.2,,
21-Jun-16,Moonbeam,7,MB,3,Low,0.005683876,0.011463194,0.623121967,0.017147071,44.5,,
21-Jun-16,Stand Up,7,SU,1,Low,0.020934038,0.035695244,1.194846637,0.056629282,503.9,0.38,11.71780564
21-Jun-16,Stand Up,7,SU,2,Low,0.022316632,0.037290405,1.869554875,0.059607037,354.6,0.56,17.26834515
21-Jun-16,Stand Up,7,SU,3,Low,0.007926973,0.018984823,0.921248863,0.026911795,108.4,,
21-Jun-16,Jungle,7,JC,1,Low,0.064008912,0.017151495,1.621261081,0.081160407,217.8,,
21-Jun-16,Jungle,7,JC,2,Low,0.09363697,0.272454832,20.52930036,0.366091802,1199.8,,
21-Jun-16,Jungle,7,JC,3,Low,0.0303507,0.079562178,6.831250901,0.109912878,311.9,,
13-Jul-16,Hovey,8,HO,1,High,0.101914113,0.154750098,6.482488579,0.256664211,299.9,0.36,11.10107902
13-Jul-16,Hovey,8,HO,2,High,0.075706084,0.095262302,215.0360957,0.170968386,421.3,0.38,11.71780564
13-Jul-16,Hovey,8,HO,3,High,0.034884708,0.043717664,0.000986437,0.078602372,465.9,,
13-Jul-16,Blue,8,BC,1,High,,,,,,,
13-Jul-16,Blue,8,BC,2,High,0.087271216,0.310990286,153.0361405,0.398261502,627.1,,
13-Jul-16,Blue,8,BC,3,High,3.185174247,0.282555547,82.95386394,3.467729794,371.4,,
13-Jul-16,Hurley,8,HU,1,High,,,,,,,
13-Jul-16,Hurley,8,HU,2,High,,,,,,,
13-Jul-16,Hurley,8,HU,3,High,,,,,,,
13-Jul-16,Cougar,8,BG,1,High,,,,,,,
13-Jul-16,Cougar,8,BG,2,High,,,,,,,
13-Jul-16,Cougar,8,BG,3,High,,,,,,,
13-Jul-16,Jack,8,JA,1,Low,,,,,,,
13-Jul-16,Jack,8,JA,2,Low,0.01135148,0.016327466,0.47835874,0.027678945,214.4,,
13-Jul-16,Jack,8,JA,3,Low,,,,,,,
