date,site.name,sample.event,site,type,rep,budworm,nh4.mg.l,no3.mg.l,srp.mg.l,din.mg.l,doc.mg.l,col.volume.l,col.volume.mm,nh4.flux,no3.flux,srp.flux,din.flux,doc.flux,net.nh4.flux,net.no3.flux,net.srp.flux,net.din.flux,net.doc.flux,net.h2o.flux,c.n,n.p,c.p
21-Jun-16,Hurley,7,HU,TF,2,High,0.020033723,0.0313584,2.249017723,0.051392122,195.2,0.27,8.325809269,0.00166797,0.002610841,0.187248926,0.00427881,16.25235423,0.000471943,-0.012538297,0.182569431,-0.012066354,15.20808202,-5.550539512,4431.390892,0.050598464,224.2215714
21-Jun-16,Hurley,7,HU,TF,3,High,0.02125616,0.023498907,1.925877419,0.044755068,430,0.31,9.559262494,0.002031932,0.002246322,0.184099678,0.004278254,41.10448769,0.000835905,-0.012902815,0.179420182,-0.012066909,40.06021547,-4.317086287,11209.06593,0.051457329,576.788588
21-Jun-16,Hovey,7,HO,TF,1,High,0.063564636,0.065726369,1.775942255,0.129291006,185.9,0.18,5.550539512,0.00352818,0.003648168,0.098574377,0.007176348,10.31657091,0.002332153,-0.011500969,0.093894881,-0.009168816,9.272298696,-8.325809269,1677.176023,0.161203004,270.3658134
21-Jun-16,Hovey,7,HO,TF,2,High,0.081912062,0.028915809,2.927164396,0.110827871,239.7,0.27,8.325809269,0.006819842,0.002407475,0.243710125,0.009227317,19.95872193,0.005623815,-0.012741662,0.239030629,-0.007117847,18.91444972,-5.550539512,2523.504406,0.083836963,211.5629448
21-Jun-16,Hovey,7,HO,TF,3,High,0.169402783,0.100747912,2.148334517,0.270150696,151,0.31,9.559262494,0.016193657,0.009630757,0.205364936,0.025824414,14.43051872,0.01499763,-0.00551838,0.20068544,0.00947925,13.38624651,-4.317086287,651.9259285,0.278443986,181.5248543
21-Jun-16,Blue,7,BC,TF,1,High,0.155719804,0.059268182,4.597236329,0.214987986,270,0.23,7.092356044,0.011044203,0.00420351,0.326052369,0.015247713,19.15062835,0.009848176,-0.010945627,0.321372873,-0.00109745,18.10635614,-6.783992737,1465.295101,0.103550218,151.7316276
21-Jun-16,Blue,7,BC,TF,2,High,0.303693602,0.072810436,4.10181103,0.376504039,215.9,0.3,9.250899187,0.028094389,0.00673562,0.379454403,0.034830009,19.97246537,0.026898362,-0.008413517,0.374774908,0.018484845,18.92819316,-4.625449594,668.9980921,0.20324864,135.9729525
21-Jun-16,Blue,7,BC,TF,3,High,0.097243659,0.036841766,0.088006028,0.134085426,762.5,0.09,2.775269756,0.002698774,0.001022458,0.002442405,0.003721232,21.16031078,0.001502747,-0.014126679,-0.002237091,-0.012623932,20.11603857,-11.10107902,6634.100608,3.373671665,22381.27724
21-Jun-16,Jack,7,JA,TF,1,Low,0.017594276,0.049154417,1.982950607,0.066748693,356.7,0.16,4.9338129,0.000868069,0.002425187,0.097835073,0.003293256,17.59972346,-0.057004539,-0.023256242,0.051378353,-0.080260781,16.17336169,-9.559262494,6234.866995,0.074535733,464.7203803
21-Jun-16,Jack,7,JA,TF,2,Low,0.014835421,0.031009458,0.832140109,0.045844879,311.9,0.22,6.783992737,0.001006434,0.002103679,0.056452325,0.003110113,21.15801928,-0.056866174,-0.023577749,0.009995605,-0.080443923,19.73165752,-7.709082656,7936.802894,0.121991067,968.2190571
21-Jun-16,Jack,7,JA,TF,3,Low,0.019406669,0.093325982,2.341807056,0.112732651,166.7,0.1,3.083633062,0.00059843,0.002877831,0.072212737,0.003476261,5.140778593,-0.057274177,-0.022803598,0.025756017,-0.080077775,3.714416828,-11.40944233,1725.294656,0.106593879,183.9058499
21-Jun-16,Moonbeam,7,MB,TF,1,Low,0.004895761,0.01077085,0.783880939,0.015666611,76.5,0.34,10.48435241,0.000513289,0.001129254,0.08218484,0.001642543,8.020147565,-0.057359319,-0.024552175,0.035728121,-0.081911493,6.5937858,-4.008722981,5696.557325,0.04425462,252.0989821
21-Jun-16,Moonbeam,7,MB,TF,2,Low,0.015162973,0.024041705,1.836720236,0.039204678,411.2,0.14,4.317086287,0.000654599,0.001037901,0.079292797,0.0016925,17.75221265,-0.057218009,-0.024643527,0.032836078,-0.081861536,16.32585089,-10.17598911,12236.87893,0.047263789,578.3612655
21-Jun-16,Moonbeam,7,MB,TF,3,Low,0.005683876,0.011463194,0.623121967,0.017147071,44.5,0.35,10.79271572,0.000613445,0.00123719,0.067251783,0.001850635,4.799376223,-0.057259163,-0.024444239,0.020795063,-0.081703402,3.373014458,-3.700359675,3025.595833,0.060932715,184.3577689
21-Jun-16,Stand Up,7,SU,TF,1,Low,0.020934038,0.035695244,1.194846637,0.056629282,503.9,0.17,5.242176206,0.001097399,0.001871208,0.062635966,0.002968607,26.4154563,-0.056775208,-0.023810221,0.016179247,-0.080585429,24.98909454,-9.250899187,10381.31189,0.104945192,1089.468767
